ACCIDENT_ID,LOCATE_ID_DISTRICT,LOCATE_ID_POLICE,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_TYPE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,LOCATE_AREATYPE,HEALTH_DEADPLACE,HEALTH_EMSSEND
146184,100679,0,1,12,59000,1,0,1,1,1,1,1,595254,1723578,15.58814854,99.8884666,2,60,3,0,1066,1066,2,0,20
146185,100797,0,4,11,0,1,0,1,1,1,1,3,0,0,0,94.5112561,1,51,3,0,1080,1080,1,0,50
146186,100550,0,4,11,180000,1,0,1,2,2,1,1,497699,2076641,18.7814066,98.9781661,2,30,2,0,1057,1057,1,0,20
146187,100623,0,4,11,0,1,0,4,2,1,1,1,0,0,0,94.5112561,2,15,2,0,1062,1062,0,0,20
146188,100910,0,12,11,0,1,0,4,1,1,90,2,0,0,0,94.5112561,1,35,2,0,1091,1091,0,0,50
146189,100652,0,1,12,0,1,0,1,1,1,1,1,0,0,0,94.5112561,1,53,2,0,1064,1064,0,0,20
146190,100463,0,4,11,0,1,0,4,2,1,1,1,950738,1761320,15.89013744,103.2073044,2,16,3,0,1051,1051,0,0,60
146191,100161,0,4,11,20000,1,0,3,1,3,1,1,710128,1466153,13.25501702,100.9393767,2,34,2,0,1030,1046,1,0,20
146192,100792,0,4,11,0,1,0,3,1,1,1,2,596767,1453575,13.14710407,99.8928402,1,40,2,0,1077,1077,2,0,50
146193,100637,0,4,11,0,1,0,1,90,90,90,90,0,0,0,94.5112561,2,41,2,0,1064,1064,0,0,40
146194,100411,0,4,11,59000,1,0,4,2,3,1,2,9053011,1939156,3.78085639,168.0040532,1,34,2,0,1048,1048,0,0,90
146195,100848,0,12,11,59000,1,0,3,1,2,1,2,0,0,0,94.5112561,2,33,2,0,1085,1085,0,0,20
