,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
151,0.875,0.32,107.763,0.0407,0.0565,4.83e-06,4,0.544,2,228890,-4.111,0.5,1,audio_features,spotify:track:1dwX0d0oOC3gpSorC0Z0OS
152,0.819,0.0679,92.99,0.118,0.426,0.0,4,0.773,0,269187,-5.946,0.585,0,audio_features,spotify:track:5GXAXm5YOmYT0kL5jHvYBt
153,0.667,0.125,174.061,0.0316,0.174,0.0,4,0.379,9,301739,-7.009,0.318,1,audio_features,spotify:track:1mX2KmsTMexb5qzp75emJb
154,0.425,0.112,178.081,0.0296,0.0689,1.03e-05,4,0.464,4,302067,-10.795,0.315,1,audio_features,spotify:track:6ZDl7YLiNjey9VOdEM3pok
155,0.39,0.111,73.433,0.0297,0.491,0.0,4,0.576,10,230267,-7.202,0.319,1,audio_features,spotify:track:0jdny0dhgjUwoIp5GkqEaA
156,0.91,0.318,126.047,0.0566,0.0079,0.0,4,0.653,10,234286,-3.36,0.0921,1,audio_features,spotify:track:57p8CBvPOxrvyCbn6ttl5r
157,0.627,0.109,85.983,0.024,0.213,0.00471,4,0.593,4,250999,-7.553,0.701,1,audio_features,spotify:track:4URCEQmgwuwaHiySIqGmIa
158,0.917,0.0515,107.969,0.0527,0.0215,7.91e-06,4,0.716,1,204583,-3.674,0.501,1,audio_features,spotify:track:1CKd1PnqfYx0H12V9MSaIY
159,0.795,0.254,104.066,0.0545,0.498,1.21e-06,4,0.736,1,230813,-3.299,0.511,0,audio_features,spotify:track:7tr2za8SQg2CI8EDgrdtNl
160,0.759,0.341,160.217,0.0436,0.126,0.0,4,0.442,6,284667,-4.547,0.403,1,audio_features,spotify:track:2b37HBQW44oMZ6QephdHcJ
161,0.788,0.0863,120.076,0.0334,0.0591,0.0,4,0.748,1,235493,-7.055,0.884,1,audio_features,spotify:track:494OU6M7NOf4ICYb4zWCf5
