,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
605,0.7559999999999999,0.396,121.96,0.0762,0.0298,0.0,4,0.6509999999999999,8,227191,-4.388,0.473,1,2tdq0CeAGSfhI2l4Gwkvgx,6,Best Of Me,BTS,48750,2017-09-17,2tdq0CeAGSfhI2l4Gwkvgx
5,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.1830000000000003,0.9309999999999999,0,7qiZfU4dY1lWllzX7mPBI3,6,Shape of You,Ed Sheeran,40425,2017-08-27,7qiZfU4dY1lWllzX7mPBI3
25806,0.654,0.0542,106.984,0.171,0.243,0.000936,4,0.9490000000000001,10,184343,-5.742000000000001,0.502,0,6n1IWYFDEvulKlEGpUX32H,7,พักก่อน,MILLI,305421,2020-02-16,6n1IWYFDEvulKlEGpUX32H
14806,0.8059999999999999,0.0867,122.98700000000001,0.124,0.184,0.0,4,0.853,0,265366,-3.95,0.895,0,7b9aHUDuKbMztMZQ90I7CY,7,มีแค่เรา,F.HERO,148477,2019-01-27,7b9aHUDuKbMztMZQ90I7CY
9206,0.6729999999999999,0.187,144.971,0.0545,0.0268,3.32e-05,4,0.604,1,197573,-5.979,0.287,1,7gkWXbAxIYuvtOpcN3p9GJ,7,God is a woman,Ariana Grande,93603,2018-07-15,7gkWXbAxIYuvtOpcN3p9GJ
19006,0.545,0.174,143.995,0.0282,0.319,0.0,4,0.6509999999999999,10,229500,-7.523,0.599,0,6d4vvgsd6G6xurG1bv2gnF,7,แค่นี้...พอ,The Parkinson,161947,2019-06-23,6d4vvgsd6G6xurG1bv2gnF
10406,0.857,0.10300000000000001,126.038,0.0881,0.0021899999999999997,0.0,4,0.7090000000000001,9,260234,-3.3939999999999997,0.446,1,03iCbZaM4OkRR4We6wIzvx,7,IDOL,BTS,90951,2018-08-26,03iCbZaM4OkRR4We6wIzvx
6006,0.7120000000000001,0.0755,167.976,0.183,0.106,0.0,4,0.68,1,217143,-6.939,0.696,1,5JhLoyD2idGlKXwD9nmYuB,7,นอนได้แล้ว,F.HERO,66659,2018-03-25,5JhLoyD2idGlKXwD9nmYuB
17006,0.91,0.319,176.084,0.107,0.04,0.0,4,0.502,7,249215,-2.7689999999999997,0.588,1,6JdS5rJvJaRA7B1tcm7kxZ,7,Dionysus,BTS,242038,2019-04-14,6JdS5rJvJaRA7B1tcm7kxZ
6,0.7,0.153,116.073,0.0694,0.0026100000000000003,1.56e-05,4,0.762,9,209320,-6.021,0.608,0,2ekn2ttSfGqwhhate0LSR0,7,New Rules,Dua Lipa,37259,2017-08-27,2ekn2ttSfGqwhhate0LSR0
25807,0.406,0.377,149.903,0.0345,0.433,4.11e-06,3,0.5489999999999999,7,311000,-7.811,0.257,1,2q3bLYpJbJtOBTnJY1YR2C,8,ใจสลาย,Whal & Dolph,296313,2020-02-16,2q3bLYpJbJtOBTnJY1YR2C
7607,0.628,0.18100000000000002,140.019,0.0321,0.39399999999999996,0.0,4,0.574,8,180717,-6.767,0.636,1,1xJP5BQBwQRl59B6EGcujF,8,แอบบอกรัก,Jaonaay,67566,2018-05-20,1xJP5BQBwQRl59B6EGcujF
10207,0.6559999999999999,0.213,100.04899999999999,0.0433,0.0211,1.3699999999999998e-05,4,0.568,8,198160,-5.412999999999999,0.364,1,4OafepJy2teCjYJbvFE60J,8,breathin,Ariana Grande,88523,2018-08-19,4OafepJy2teCjYJbvFE60J
